team,country,maps_played,maps_won,maps_won%,atk_played,atk_won,atk_won%,def_played,def_won,def_won%,pistol_played,pistol_won,pistol_won%
Renegados,br,28,15,53.57%,299,153,51.17%,317,177,55.84%,56,32,57.14%
Kansas City Pioneers,us,63,41,65.08%,628,333,53.03%,622,361,58.04%,122,69,56.56%
Anonymo Mentos,pl,69,43,62.32%,724,384,53.04%,716,407,56.84%,138,74,53.62%
Action PH,ph,70,39,55.71%,742,374,50.4%,735,401,54.56%,140,78,55.71%
KONE,cn,40,26,65%,418,247,59.09%,431,230,53.36%,80,45,56.25%
Kowareta,ca,55,33,60%,564,307,54.43%,573,303,52.88%,110,60,54.55%
Team Mystic,ca,62,42,67.74%,588,303,51.53%,682,400,58.65%,124,73,58.87%
UGK Esports,ca,30,8,26.67%,306,118,38.56%,308,128,41.56%,60,24,40%
TSM FTX Academy,us,60,36,60%,614,319,51.95%,628,348,55.41%,120,71,59.17%
Vexed Gaming,gb,35,24,68.57%,323,184,56.97%,348,209,60.06%,70,38,54.29%
Rated Gaming,ca,66,27,40.91%,692,338,48.84%,690,321,46.52%,132,68,51.52%
TENSTAR Nova,fr,39,34,87.18%,441,299,67.8%,321,199,61.99%,78,53,67.95%
FS Esports,in,27,12,44.44%,277,122,44.04%,294,152,51.7%,54,26,48.15%
BEAST,id,29,16,55.17%,320,173,54.06%,318,160,50.31%,58,30,51.72%
Green Beans,ca,32,16,50%,342,168,49.12%,321,173,53.89%,64,37,57.81%
Team Big BAAM,vn,40,26,65%,373,222,59.52%,401,224,55.86%,80,45,56.25%
ZHUQUE,cn,45,25,55.56%,486,242,49.79%,481,266,55.3%,90,40,44.44%
Project A,us,28,17,60.71%,269,143,53.16%,299,163,54.52%,56,29,51.79%
Case Esports,es,40,29,72.5%,399,231,57.89%,413,247,59.81%,80,49,61.25%
NOM eSports,eu,35,22,62.86%,373,188,50.4%,370,214,57.84%,70,31,44.29%
Geekay Esports,ae,30,16,53.33%,293,160,54.61%,299,152,50.84%,60,30,50%
incognito,pl,39,24,61.54%,403,217,53.85%,400,236,59%,78,43,55.13%
Team Lixa,tr,43,24,55.81%,439,242,55.13%,452,237,52.43%,86,44,51.16%
Guild X,eu,39,27,69.23%,385,231,60%,427,237,55.5%,78,44,56.41%
Polaris,us,29,22,75.86%,278,167,60.07%,277,150,54.15%,58,35,60.34%
Complexity GX3,us,33,17,51.52%,383,203,53%,280,135,48.21%,66,30,45.45%
Supermassive Blaze Female,tr,26,18,69.23%,268,161,60.07%,262,149,56.87%,52,30,57.69%
G2 Gozen,eu,32,26,81.25%,329,214,65.05%,323,179,55.42%,64,42,65.63%
BBL Queens,tr,27,17,62.96%,272,162,59.56%,272,134,49.26%,54,24,44.44%
Bleed eSports,sg,33,19,57.58%,343,188,54.81%,344,174,50.58%,64,35,54.69%
Eternal Fire,tr,26,19,73.08%,272,151,55.51%,236,152,64.41%,52,26,50%
UP NEXT,ca,35,13,37.14%,376,181,48.14%,348,160,45.98%,68,23,33.82%
Radiance,us,41,23,56.1%,443,217,48.98%,452,255,56.42%,82,50,60.98%
Ahjin,us,29,13,44.83%,267,132,49.44%,306,152,49.67%,58,26,44.83%
Akrew,us,64,42,65.63%,588,323,54.93%,668,410,61.38%,128,70,54.69%
Knights Academy,ca,127,83,65.35%,"1,202",671,55.82%,"1,386",763,55.05%,254,139,54.72%
KOVA,fi,40,27,67.5%,382,223,58.38%,439,229,52.16%,80,43,53.75%
WATAHA,pl,44,26,59.09%,472,235,49.79%,482,281,58.3%,88,40,45.45%
IlluZion,ca,50,28,56%,540,257,47.59%,509,277,54.42%,100,51,51%
Team Reckaroo,us,87,50,57.47%,866,441,50.92%,905,496,54.81%,174,92,52.87%
Team Mystic Venus,ca,29,15,51.72%,307,148,48.21%,314,181,57.64%,58,33,56.9%
One Percent,ca,29,13,44.83%,308,149,48.38%,318,143,44.97%,58,25,43.1%
GunsForHire,ca,49,28,57.14%,483,249,51.55%,535,291,54.39%,98,52,53.06%
KRÜ Fem,latam,31,28,90.32%,252,180,71.43%,288,203,70.49%,62,44,70.97%
bait academy,us,75,49,65.33%,720,403,55.97%,819,470,57.39%,150,83,55.33%
The Guard,us,66,50,75.76%,643,364,56.61%,689,416,60.38%,132,83,62.88%
Run it Down,ca,101,58,57.43%,"1,061",567,53.44%,"1,054",535,50.76%,202,98,48.51%
Rebels Gaming,eu,39,22,56.41%,405,207,51.11%,412,224,54.37%,78,39,50%
AWARIA,pl,53,34,64.15%,615,352,57.24%,493,247,50.1%,106,61,57.55%
Tropinha do TIKTOK,br,31,22,70.97%,326,169,51.84%,329,195,59.27%,62,38,61.29%
Thanos Mug Academy,us,45,24,53.33%,453,236,52.1%,455,241,52.97%,90,52,57.78%
Tone Gaming,ca,36,20,55.56%,363,182,50.14%,402,205,51%,72,35,48.61%
MLC Esports,ma,28,26,92.86%,270,172,63.7%,307,192,62.54%,56,33,58.93%
AIMPUNCH.,us,38,19,50%,382,192,50.26%,367,185,50.41%,74,35,47.3%
Pampas,cl,34,27,79.41%,325,213,65.54%,331,203,61.33%,68,38,55.88%
Lenny Time,ca,76,40,52.63%,735,377,51.29%,771,389,50.45%,150,72,48%
Gamerland Outlaws,hu,30,15,50%,320,159,49.69%,312,171,54.81%,60,35,58.33%
ex-Flickbaiters,us,37,26,70.27%,387,211,54.52%,392,228,58.16%,74,44,59.46%
Kennesaw State University,ca,34,17,50%,366,172,46.99%,369,199,53.93%,68,32,47.06%
Hugh Jass Construction,ca,26,9,34.62%,295,137,46.44%,286,128,44.76%,52,23,44.23%
KPMOONIIBLM9,sg,32,16,50%,305,157,51.48%,299,164,54.85%,62,35,56.45%
Goat Crew,latam,33,21,63.64%,367,169,46.05%,309,194,62.78%,66,41,62.12%
Balkan Stars,mk,29,18,62.07%,306,152,49.67%,301,167,55.48%,58,33,56.9%
Zero Marksmen Silver,ca,76,40,52.63%,811,415,51.17%,754,374,49.6%,152,70,46.05%
Team NKT,th,36,21,58.33%,366,200,54.64%,392,199,50.77%,72,37,51.39%
MAJTKOMAT,pl,26,18,69.23%,280,161,57.5%,248,138,55.65%,52,33,63.46%
Team Assent,ca,35,22,62.86%,345,190,55.07%,330,175,53.03%,70,32,45.71%
Fenix Gaming,vn,26,8,30.77%,256,109,42.58%,244,105,43.03%,52,27,51.92%
Take It Easy,vn,26,14,53.85%,245,118,48.16%,273,151,55.31%,52,27,51.92%
On Sla2ers,kr,42,29,69.05%,390,232,59.49%,408,254,62.25%,84,52,61.9%
Zenigma Alpha,ca,60,31,51.67%,589,284,48.22%,623,332,53.29%,116,56,48.28%
Undead BK,ar,37,20,54.05%,405,198,48.89%,307,155,50.49%,74,33,44.59%
Valar Morghulis,fr,26,16,61.54%,292,149,51.03%,277,147,53.07%,52,23,44.23%
H20,eu,30,12,40%,332,152,45.78%,316,144,45.57%,60,21,35%
Dsyre,eu,34,23,67.65%,373,212,56.84%,315,180,57.14%,68,40,58.82%
Orgless5,in,28,12,42.86%,275,146,53.09%,297,123,41.41%,56,30,53.57%
FOKUS,eu,58,44,75.86%,591,373,63.11%,544,307,56.43%,116,67,57.76%
Bonkers,au,37,22,59.46%,409,210,51.34%,401,208,51.87%,74,37,50%
eBRO GAMING,ar,28,14,50%,301,148,49.17%,270,130,48.15%,56,30,53.57%
NAOS Esports,ph,44,28,63.64%,457,234,51.2%,501,274,54.69%,88,37,42.05%
Team Rocket,ca,46,27,58.7%,490,259,52.86%,499,269,53.91%,92,53,57.61%
Stasis,us,57,30,52.63%,564,282,50%,565,292,51.68%,114,59,51.75%
goofy gremlins,ca,26,6,23.08%,262,108,41.22%,280,112,40%,52,21,40.38%
FYL,ca,46,22,47.83%,486,238,48.97%,457,229,50.11%,92,49,53.26%
Vexo Esports,ca,41,21,51.22%,435,187,42.99%,413,229,55.45%,82,39,47.56%
Omnipotent Gaming,ca,33,14,42.42%,329,157,47.72%,305,135,44.26%,62,33,53.23%
SHOWRUNNERS,ca,27,12,44.44%,297,130,43.77%,275,135,49.09%,54,26,48.15%
Hidden Fang,ca,41,23,56.1%,432,241,55.79%,389,171,43.96%,82,38,46.34%
Yasei,ca,50,18,36%,529,264,49.91%,487,217,44.56%,100,47,47%
Acacia Gaming,ca,27,8,29.63%,271,121,44.65%,249,98,39.36%,54,19,35.19%
Fusion,co,31,20,64.52%,334,178,53.29%,260,144,55.38%,62,32,51.61%
Balanced Esports,ca,50,24,48%,505,243,48.12%,498,251,50.4%,100,45,45%
Bomb Crypto,br,31,18,58.06%,288,151,52.43%,338,194,57.4%,62,34,54.84%
3p eSports,br,27,15,55.56%,291,137,47.08%,271,154,56.83%,54,25,46.3%
SG E-SPORTS,br,35,22,62.86%,318,166,52.2%,356,208,58.43%,70,37,52.86%
Lusa White,br,26,15,57.69%,254,153,60.24%,264,128,48.48%,52,32,61.54%
mibr,br,31,20,64.52%,331,186,56.19%,299,168,56.19%,62,40,64.52%
Botafogo eSports,br,43,29,67.44%,428,232,54.21%,444,251,56.53%,86,47,54.65%
LORDS OF HEIST,id,29,16,55.17%,293,153,52.22%,314,163,51.91%,58,29,50%
Team Joy,vn,29,12,41.38%,269,127,47.21%,266,127,47.74%,56,21,37.5%
Unbeaten Esports,vn,40,26,65%,365,220,60.27%,368,205,55.71%,74,43,58.11%
SpaceWalkers,vn,30,17,56.67%,261,139,53.26%,284,155,54.58%,54,35,64.81%
Team OK,vn,33,14,42.42%,330,168,50.91%,338,168,49.7%,64,35,54.69%
Brave Wolves,vn,35,20,57.14%,343,182,53.06%,359,187,52.09%,70,34,48.57%
who cars?,dk,40,20,50%,441,214,48.53%,401,211,52.62%,80,37,46.25%
VeselieVintovki,ru,27,14,51.85%,279,148,53.05%,264,144,54.55%,54,29,53.7%
Dobeg,ru,31,20,64.52%,313,167,53.35%,343,176,51.31%,62,37,59.68%
XERXIA,th,51,32,62.75%,564,321,56.91%,494,261,52.83%,98,55,56.12%
Attack All Around,th,29,12,41.38%,297,142,47.81%,282,146,51.77%,58,33,56.9%
Los Grandes,br,31,22,70.97%,333,180,54.05%,332,190,57.23%,62,31,50%
Galatasaray Espor,tr,35,15,42.86%,366,182,49.73%,391,181,46.29%,70,31,44.29%
Alliance Coven,eu,29,16,55.17%,293,172,58.7%,296,148,50%,58,28,48.28%
Vi4 Esports,mx,36,22,61.11%,366,206,56.28%,361,186,51.52%,72,42,58.33%
Free Fall,ca,37,13,35.14%,391,158,40.41%,355,169,47.61%,74,32,43.24%
Girl Kissers,ca,35,18,51.43%,350,163,46.57%,392,197,50.26%,70,33,47.14%
UNtapped,eu,35,24,68.57%,336,196,58.33%,362,194,53.59%,70,35,50%
vSlash Esports,ae,39,25,64.1%,375,193,51.47%,401,230,57.36%,78,46,58.97%
01 Esports,sa,41,24,58.54%,417,222,53.24%,441,238,53.97%,82,38,46.34%
redCore,kw,31,19,61.29%,329,164,49.85%,337,192,56.97%,62,38,61.29%
Monsters have hearts,dz,33,15,45.45%,361,189,52.35%,319,141,44.2%,64,28,43.75%
Sector One,fr,27,15,55.56%,300,158,52.67%,304,142,46.71%,54,26,48.15%
GT3 RS,tn,36,12,33.33%,344,150,43.6%,372,141,37.9%,72,32,44.44%
TropiCaos,br,35,23,65.71%,370,192,51.89%,380,202,53.16%,70,41,58.57%
Oxygen Esports Academy,us,47,31,65.96%,462,249,53.9%,482,265,54.98%,94,56,59.57%
No Namers,sg,51,31,60.78%,516,270,52.33%,553,288,52.08%,102,58,56.86%
Pack a Punch,us,42,27,64.29%,439,232,52.85%,448,252,56.25%,84,50,59.52%
Team Falcons,sa,45,31,68.89%,466,240,51.5%,486,296,60.91%,90,52,57.78%
HolyMolly,kr,44,25,56.82%,435,223,51.26%,423,220,52.01%,88,50,56.82%
Maru Gaming,kr,38,21,55.26%,373,183,49.06%,399,220,55.14%,76,42,55.26%
Desperado,kr,32,15,46.88%,310,139,44.84%,350,188,53.71%,64,30,46.88%
Team T5,kr,32,18,56.25%,312,157,50.32%,326,174,53.37%,64,34,53.13%
Omni Performance SD,ca,38,12,31.58%,416,186,44.71%,336,140,41.67%,76,37,48.68%
Mugi,ca,29,10,34.48%,317,133,41.96%,278,142,51.08%,58,30,51.72%
Zer0 Latency,ca,51,27,52.94%,577,289,50.09%,559,267,47.76%,102,52,50.98%
Omni Performance Gaming,ca,37,17,45.95%,365,174,47.67%,408,210,51.47%,74,38,51.35%
Valor Esports,us,31,18,58.06%,323,173,53.56%,348,174,50%,62,31,50%
Celestial Aim,ca,29,9,31.03%,300,120,40%,299,148,49.5%,58,24,41.38%
Godalions,ca,30,15,50%,326,164,50.31%,327,151,46.18%,60,33,55%
Digital,ca,31,16,51.61%,321,166,51.71%,332,166,50%,60,20,33.33%
Emergence,ca,29,4,13.79%,258,97,37.6%,269,107,39.78%,52,28,53.85%
The 11,us,51,35,68.63%,510,282,55.29%,514,300,58.37%,102,57,55.88%
Chosen 1's,ca,27,14,51.85%,296,143,48.31%,241,122,50.62%,54,23,42.59%
OpTic Gaming,ca,32,20,62.5%,327,177,54.13%,325,174,53.54%,64,40,62.5%
Team Synergy,us,26,10,38.46%,268,122,45.52%,251,131,52.19%,52,27,51.92%
XPLDZ Gaming,eg,41,23,56.1%,447,227,50.78%,411,212,51.58%,82,47,57.32%
Dart Monkeys,us,45,29,64.44%,494,281,56.88%,422,223,52.84%,90,48,53.33%
TLP Red,us,45,27,60%,467,251,53.75%,480,238,49.58%,88,47,53.41%
Chapter 4,ca,33,16,48.48%,363,185,50.96%,325,166,51.08%,66,33,50%
Boba Boy,ca,29,19,65.52%,300,152,50.67%,296,166,56.08%,58,32,55.17%
Night Wings Gaming,cn,27,11,40.74%,285,145,50.88%,276,129,46.74%,54,28,51.85%
Mach5,ca,34,15,44.12%,372,177,47.58%,293,147,50.17%,68,41,60.29%
Final Form,ca,29,16,55.17%,299,173,57.86%,314,147,46.82%,58,33,56.9%
X10 CRIT Female,th,33,24,72.73%,301,188,62.46%,346,187,54.05%,66,39,59.09%
Glueface,ca,30,17,56.67%,300,152,50.67%,280,149,53.21%,60,32,53.33%
Hike Digital Esports,id,26,14,53.85%,268,135,50.37%,281,139,49.47%,52,23,44.23%
Nearest Airport,us,31,25,80.65%,327,184,56.27%,330,210,63.64%,62,43,69.35%
Immortals Female,us,27,17,62.96%,280,162,57.86%,297,167,56.23%,54,30,55.56%
